Index;Content Curator;Type;ID entities;ID owner entities;Act;Warn;Reason or other comments
80;IgreX;Channel\1;https://play.joystream.org/channel/2139;;Censored;https://testnet.joystream.org/#/forum/threads/329?page=4&replyIdx=31;Wrong channel icon
81;IgreX;Video\10;https://play.joystream.org/video/121;84;Accepted;;
82;IgreX;Video\10;https://play.joystream.org/video/126;84;Accepted;;
83;IgreX;Video\10;https://play.joystream.org/video/131;84;Accepted;;
84;IgreX;Video\10;https://play.joystream.org/video/136;84;Accepted;;
85;IgreX;Video\10;https://play.joystream.org/video/141;84;Accepted;;
86;IgreX;Video\10;https://play.joystream.org/video/146;84;Accepted;;
87;IgreX;Video\10;https://play.joystream.org/video/151;84;Accepted;;
88;IgreX;Video\10;https://play.joystream.org/video/156;84;Accepted;;
89;IgreX;Video\10;https://play.joystream.org/video/161;84;Warn;https://testnet.joystream.org/#/forum/threads/329?page=4&replyIdx=32;Damage video
90;IgreX;Video\10;https://play.joystream.org/video/166;84;Accepted;;
91;IgreX;Video\10;https://play.joystream.org/video/171;85;Accepted;;
92;IgreX;Video\10;https://play.joystream.org/video/176;85;Accepted;;
93;Meskalin;Video\10;https://play.joystream.org/video/2306;2116;Accepted;;
94;oiclid;Channel\1;https://play.joystream.org/channel/2291;;Accepted;;
96;oiclid;Channel\1;https://play.joystream.org/channel/2219;;Accepted;;
97;oiclid;Channel\1;https://play.joystream.org/channel/2198;;Accepted;;
98;oiclid;Channel\1;https://play.joystream.org/channel/2177;;Accepted;;
99;oiclid;Channel\1;https://play.joystream.org/channel/2161;;Accepted;;
100;oiclid;Channel\1;https://play.joystream.org/channel/2140;;Accepted;;
102;oiclid;Channel\1;https://play.joystream.org/channel/2133;;Accepted;;
103;leet_joy;Video\10;https://play.joystream.org/video/2321;2116;Accepted;;
104;leet_joy;Video\10;https://play.joystream.org/video/2316;2116;Accepted;;
105;leet_joy;Video\10;https://play.joystream.org/video/2311;2116;Accepted;;
106;oiclid;Channel\1;https://play.joystream.org/channel/2122;;Accepted;;
107;oiclid;Video\10;https://play.joystream.org/video/2346;2219;Accepted ;;
108;oiclid;Video\10;https://play.joystream.org/video/2356;2270;Accepted;;
109;oiclid;Video\10;https://play.joystream.org/video/2361;2270;Accepted;;
110;oiclid;Video\10;https://play.joystream.org/video/2366;2270;Accepted;;
111;oiclid;Video\10;https://play.joystream.org/video/2371;2270;Accepted;;
112;oiclid;Video\10;https://play.joystream.org/video/2376;2270;Accepted;;
113;oiclid;Video\10;https://play.joystream.org/video/2381;2270;Accepted;;
114;leet_joy;Video\10;https://play.joystream.org/video/2471;1908;Accepted;;
115;leet_joy;Video\10;https://play.joystream.org/video/2351;1908;Accepted;;
116;leet_joy;Video\10;https://play.joystream.org/video/2341;1908;Accepted;;
117;leet_joy;Video\10;https://play.joystream.org/video/2336;1908;Accepted;;
118;leet_joy;Video\10;https://play.joystream.org/video/1943;1908;Accepted;;
119;leet_joy;Video\10;https://play.joystream.org/video/1938;1908;Accepted;;
120;leet_joy;Video\10;https://play.joystream.org/video/1933;1908;Accepted;;
121;leet_joy;Video\10;https://play.joystream.org/video/1928;1908;Accepted;;
122;leet_joy;Video\10;https://play.joystream.org/video/1923;1908;Accepted;;
123;leet_joy;Video\10;https://play.joystream.org/video/1913;1908;Accepted;;
124;leet_joy;Video\10;https://play.joystream.org/video/2466;1944;Accepted;;
125;leet_joy;Video\10;https://play.joystream.org/video/2461;1944;Accepted;;
126;leet_joy;Video\10;https://play.joystream.org/video/2326;1944;Accepted;;
127;leet_joy;Video\10;https://play.joystream.org/video/2040;1944;Accepted;;
128;leet_joy;Video\10;https://play.joystream.org/video/2456;2219;Accepted;;
129;leet_joy;Video\10;https://play.joystream.org/video/2451;2219;Accepted;;
130;leet_joy;Video\10;https://play.joystream.org/video/2446;2219;Accepted;;
131;leet_joy;Video\10;https://play.joystream.org/video/2436;2219;Accepted;;
132;leet_joy;Video\10;https://play.joystream.org/video/2431;2219;Accepted;;
133;leet_joy;Video\10;https://play.joystream.org/video/2426;2219;Accepted;;
134;leet_joy;Video\10;https://play.joystream.org/video/2421;2219;Accepted;;
135;Meskalin;Video\10;https://play.joystream.org/video/2476;1908;Accepted;;
136;Meskalin;Video\10;https://play.joystream.org/video/2511;2291;Accepted;;
137;Meskalin;Video\10;https://play.joystream.org/video/2506;2291;Accepted;;
138;Meskalin;Video\10;https://play.joystream.org/video/2501;2291;Accepted;;
139;Meskalin;Video\10;https://play.joystream.org/video/2496;2291;Accepted;;
140;Meskalin;Video\10;https://play.joystream.org/video/2491;2291;Accepted;;
141;IgreX;Video\10;https://play.joystream.org/video/181;85;Accepted;;
142;IgreX;Video\10;https://play.joystream.org/video/186;85;Accepted;;
143;IgreX;Video\10;https://play.joystream.org/video/191;85;Accepted;;
144;IgreX;Video\10;https://play.joystream.org/video/196;85;Accepted;;
145;IgreX;Video\10;https://play.joystream.org/video/201;85;Accepted;;
146;IgreX;Video\10;https://play.joystream.org/video/206;85;Accepted;;
147;IgreX;Video\10;https://play.joystream.org/video/211;85;Accepted;;
148;IgreX;Video\10;https://play.joystream.org/video/216;85;Accepted;;
149;IgreX;Video\10;https://play.joystream.org/video/221;85;Accepted;;
150;IgreX;Video\10;https://play.joystream.org/video/226;85;Accepted;;
151;IgreX;Video\10;https://play.joystream.org/video/231;85;Accepted;;
152;IgreX;Video\10;https://play.joystream.org/video/236;85;Accepted;;
153;IgreX;Video\10;https://play.joystream.org/video/241;85;Accepted;;
154;IgreX;Video\10;https://play.joystream.org/video/246;85;Accepted;;
155;IgreX;Video\10;https://play.joystream.org/video/251;85;Accepted;;
156;IgreX;Video\10;https://play.joystream.org/video/256;86;Accepted;;
157;IgreX;Video\10;https://play.joystream.org/video/266;86;Accepted;;
158;IgreX;Video\10;https://play.joystream.org/video/271;86;Accepted;;
159;IgreX;Video\10;https://play.joystream.org/video/276;86;Accepted;;
160;IgreX;Video\10;https://play.joystream.org/video/281;86;Accepted;;
161;IgreX;Video\10;https://play.joystream.org/video/286;86;Accepted;;
162;IgreX;Video\10;https://play.joystream.org/video/291;86;Accepted;;
163;IgreX;Video\10;https://play.joystream.org/video/296;86;Accepted;;
164;IgreX;Video\10;https://play.joystream.org/video/301;86;Accepted;;
165;IgreX;Video\10;https://play.joystream.org/video/306;86;Accepted;;
166;IgreX;Video\10;https://play.joystream.org/video/311;86;Accepted;;
167;IgreX;Video\10;https://play.joystream.org/video/2401;2291;Accepted;;
168;IgreX;Video\10;https://play.joystream.org/video/2396;2291;Accepted;;
169;IgreX;Video\10;https://play.joystream.org/video/2391;2291;Accepted;;
170;IgreX;Video\10;https://play.joystream.org/video/2386;2291;Accepted;;
171;IgreX;Video\10;https://play.joystream.org/video/316;87;Accepted;;
172;IgreX;Video\10;https://play.joystream.org/video/321;87;Accepted;;
173;IgreX;Video\10;https://play.joystream.org/video/326;87;Accepted;;
174;IgreX;Video\10;https://play.joystream.org/video/331;87;Accepted;;
175;IgreX;Video\10;https://play.joystream.org/video/336;87;Accepted;;
