Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,WG,Reimbursed
Alexandria,58,,,,,,,,,,
Alexandria,59,,,,,,,,,,
Antioch,59,,,,,,,,,,
Antioch,60,Community Bounty #4: Telegram Bot,ExecutionFailed,21000000,0,,,Bounties,4,,Y
Alexandria,60,,,,,,,,,,
Antioch,61,Bounty 14: Submission 15-17,ExecutionFailed,2688100,0,,,Bounties,14,,Y
Alexandria,61,,,,,,,,,,
Alexandria,62,Council Reports + Stats Website (1),Expired,,,,,Tools,,,
Antioch,62,,,,,,,,,,
Alexandria,63,Council Reports + Stats Website (2),Expired,,,,,Tools,,,
Antioch,63,,,,,,,,,,
Alexandria,64,KPI 06.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,,
Antioch,64,,,,,,,,,,
Alexandria,65,Council 5 Report,Approved,500000,500000,,,Reports,,,
Antioch,65,,,,,,,,,,
Alexandria,66,Council 05 - Tokenomics Report,Approved,385000,385000,,,Reports,,,
Antioch,66,,,,,,,,,,
Alexandria,67,,,,,,,,,,
Antioch,67,,,,,,,,,,
Antioch,68,Resub: Bounty 14: Submission 15-17,Approved,2688100,2688100,,,Bounties,14,,Y
Alexandria,68,,,,,,,,,,
Alexandria,69,Community Bounty 05 - Telegram Stickers,Approved,2096400,2096400,,,Bounties,5,,Y
Antioch,69,,,,,,,,,,
Alexandria,70,,,,,,,,,,
Antioch,70,,,,,,,,,,
Alexandria,71,JoystreamStats.live,Approved,5000000,5000000,,,Tools,,,
Antioch,71,,,,,,,,,,
Alexandria,72,,,,,,,,,,
Antioch,72,,,,,,,,,,
Antioch,73,Prize pot for bounty 10 II,Approved,8128312,8128312,,,Bounties,10,,Y
Alexandria,73,,,,,,,,,,
Antioch,74,Re: Community Bounty #4: Telegram Bot,Approved,21000000,21000000,,,Bounties,4,,Y
Alexandria,74,,,,,,,,,,
Antioch,75,Bounty #12: Endpoints May/2021,Approved,5000000,5000000,,,Bounties,12,,Y
Alexandria,75,,,,,,,,,,
Alexandria,76,,,,,,,,,,
Antioch,76,,,,,,,,,,
Alexandria,77,KPI 07.3 - Appoint New Council Secretary,Approved,2000000,2000000,,,Informal Roles,,,
Antioch,77,,,,,,,,,,
Alexandria,78,,,,,,,,,,
Antioch,78,,,,,,,,,,
Alexandria,79,KPI 06.2 - Council Report,Approved,500000,500000,,,Reports,,,
Antioch,79,,,,,,,,,,
Alexandria,80,,,,,,,,,,
Antioch,80,,,,,,,,,,
Alexandria,81,Council 06 - Tokenomics Report,Approved,385000,385000,,,Reports,,,
Antioch,81,,,,,,,,,,
Antioch,82,Bounty 11 - Comm Repo Banner #1,Approved,2824859,2824859,,,Bounties,11,,Y
Alexandria,82,,,,,,,,,,
Antioch,83,Bounty 11 - Comm Repo Banner #2,Approved,2824859,2824859,,,Bounties,11,,Y
Alexandria,83,JoystreamStats.live (Part II+III),Approved,5000000,5000000,,,Tools,,,
Alexandria,84,Joystream's first telegram sticker.!!,Approved,300000,300000,,,Bounties,5,,Y
Antioch,84,Prize pot for bounty 10 III,Approved,8500000,8500000,,,Bounties,10,,Y
Antioch,85,Bounty 11 - Comm Repo Banner #3,Approved,2824859,2824859,,,Bounties,11,,Y
Alexandria,85,,,,,,,,,,
Antioch,86,Reward for Bounty #9,Approved,1510700,1510700,,,Bounties,9,,Y
Alexandria,86,,,,,,,,,,
Alexandria,87,Community Bounty #2,Approved,4553700,4553700,,,Bounties,2,,Y
Antioch,87,,,,,,,,,,
Alexandria,88,,,,,,,,,,
Antioch,88,,,,,,,,,,
Alexandria,89,,,,,,,,,,
Antioch,89,,,,,,,,,,
Alexandria,90,,,,,,,,,,
