Number;Content Curator;Type;ID entities;Owner entities;Act;Warn;Date;Reason or other comments
287;IgreX;Video\10;https://play.joystream.org/video/831;93;Accepted;;44330;
288;IgreX;Video\10;https://play.joystream.org/video/826;93;Accepted;;44330;
289;IgreX;Video\10;https://play.joystream.org/video/821;93;Accepted;;44330;
290;IgreX;Video\10;https://play.joystream.org/video/816;93;Accepted;;44330;
291;IgreX;Video\10;https://play.joystream.org/video/811;93;Accepted;;44330;
292;IgreX;Channel\1;https://play.joystream.org/channel/93;;Accepted;;44330;
293;IgreX;Video\10;https://play.joystream.org/video/1041;96;Accepted;;44330;
294;IgreX;Channel\1;https://play.joystream.org/channel/96;;Accepted;;44330;
295;leet_joy;Video\10;https://play.joystream.org/video/2853;2025;Accepted;;44332;
296;leet_joy;Video\10;https://play.joystream.org/video/2818;2025;Warn;https://testnet.joystream.org/#/forum/threads/329?page=4&replyIdx=41;44332;missing thumbnails
297;leet_joy;Video\10;https://play.joystream.org/video/2952;2291;Accepted;;44333;
298;leet_joy;Video\10;https://play.joystream.org/video/2947;2291;Accepted;;44333;
299;leet_joy;Video\10;https://play.joystream.org/video/2942;2291;Accepted;;44333;
300;leet_joy;Video\10;https://play.joystream.org/video/2937;2291;Accepted;;44333;
301;leet_joy;Video\10;https://play.joystream.org/video/2932;2291;Accepted;;44333;
302;leet_joy;Video\10;https://play.joystream.org/video/2927;2291;Accepted;;44333;
303;leet_joy;Video\10;https://play.joystream.org/video/2922;2291;Accepted;;44333;
304;leet_joy;Video\10;https://play.joystream.org/video/2917;2291;Accepted;;44333;
305;leet_joy;Video\10;https://play.joystream.org/video/2912;2291;Accepted;;44333;
306;leet_joy;Video\10;https://play.joystream.org/video/2907;2291;Accepted;;44333;
307;leet_joy;Video\10;https://play.joystream.org/video/2902;2291;Accepted;;44333;
308;leet_joy;Video\10;https://play.joystream.org/video/2897;2291;Accepted;;44333;
309;leet_joy;Video\10;https://play.joystream.org/video/2892;2291;Accepted;;44333;
310;leet_joy;Video\10;https://play.joystream.org/video/2887;2291;Accepted;;44333;
311;leet_joy;Video\10;https://play.joystream.org/video/2882;2291;Accepted;;44333;
312;leet_joy;Video\10;https://play.joystream.org/video/2877;2291;Accepted;;44333;
313;IgreX;Video\10;https://play.joystream.org/video/2958;2953;Censored;https://testnet.joystream.org/#/forum/threads/329?page=5&replyIdx=42;44337;missing thumbnails
314;IgreX;Channel\1;https://play.joystream.org/channel/2953;;Accepted;https://testnet.joystream.org/#/forum/threads/329?page=5&replyIdx=42;44337;missing icon
315;IgreX;Channel\1;https://play.joystream.org/channel/2862;;Censored;https://testnet.joystream.org/#/forum/threads/329?page=5&replyIdx=43;44337;broken thumbnails
316;IgreX;Channel\1;https://play.joystream.org/channel/2854;;Censored;https://testnet.joystream.org/#/forum/threads/329?page=5&replyIdx=43;44337;broken thumbnails
317;IgreX;Channel\1;https://play.joystream.org/channel/2855;;Censored;https://testnet.joystream.org/#/forum/threads/329?page=5&replyIdx=43;44337;broken thumbnails
318;IgreX;Video\10;https://play.joystream.org/video/896;94;Accepted;;44333;
319;IgreX;Video\10;https://play.joystream.org/video/901;94;Accepted;;44333;
320;IgreX;Video\10;https://play.joystream.org/video/906;94;Accepted;;44333;
321;IgreX;Video\10;https://play.joystream.org/video/911;94;Accepted;;44333;
322;IgreX;Video\10;https://play.joystream.org/video/916;94;Accepted;;44333;
323;IgreX;Video\10;https://play.joystream.org/video/921;94;Accepted;;44333;
324;IgreX;Video\10;https://play.joystream.org/video/926;94;Accepted;;44333;
325;IgreX;Video\10;https://play.joystream.org/video/931;94;Accepted;;44333;
326;IgreX;Video\10;https://play.joystream.org/video/936;94;Accepted;;44333;
327;IgreX;Video\10;https://play.joystream.org/video/941;94;Accepted;;44333;
328;IgreX;Video\10;https://play.joystream.org/video/946;94;Accepted;;44333;
329;IgreX;Video\10;https://play.joystream.org/video/951;94;Accepted;;44333;
330;IgreX;Video\10;https://play.joystream.org/video/956;94;Accepted;;44333;
331;IgreX;Video\10;https://play.joystream.org/video/961;94;Accepted;;44333;
332;IgreX;Channel\1;https://play.joystream.org/channel/94;;Accepted;;44333;
333;IgreX;Video\10;https://play.joystream.org/video/966;95;Accepted;;44333;
334;IgreX;Video\10;https://play.joystream.org/video/971;95;Accepted;;44333;
335;IgreX;Video\10;https://play.joystream.org/video/976;95;Accepted;;44333;
336;IgreX;Video\10;https://play.joystream.org/video/981;95;Accepted;;44333;
337;IgreX;Video\10;https://play.joystream.org/video/986;95;Accepted;;44333;
338;IgreX;Video\10;https://play.joystream.org/video/991;95;Accepted;;44333;
339;IgreX;Video\10;https://play.joystream.org/video/996;95;Accepted;;44333;
340;IgreX;Video\10;https://play.joystream.org/video/1001;95;Accepted;;44333;
341;IgreX;Video\10;https://play.joystream.org/video/1006;95;Accepted;;44333;
342;IgreX;Video\10;https://play.joystream.org/video/1011;95;Accepted;;44333;
343;IgreX;Video\10;https://play.joystream.org/video/1016;95;Accepted;;44333;
344;IgreX;Video\10;https://play.joystream.org/video/1021;95;Accepted;;44333;
345;IgreX;Video\10;https://play.joystream.org/video/1031;95;Accepted;;44333;
346;IgreX;Video\10;https://play.joystream.org/video/1026;95;Accepted;;44333;
347;IgreX;Video\10;https://play.joystream.org/video/1036;95;Accepted;;44333;
348;IgreX;Channel\1;https://play.joystream.org/channel/95;;Accepted;;44333;
349;leet_joy;Video\10;https://play.joystream.org/video/2963;1629;Accepted;;44333;
350;prontera#3425;Video\10;https://play.joystream.org/video/3014;2964;Accepted;;44335;
351;leet_joy;Video\10;https://play.joystream.org/video/3009;2964;Accepted;;44335;
352;leet_joy;Video\10;https://play.joystream.org/video/3004;2964;Accepted;;44335;
353;leet_joy;Video\10;https://play.joystream.org/video/2999;2964;Accepted;;44335;
354;leet_joy;Video\10;https://play.joystream.org/video/2994;2964;Accepted;;44335;
355;prontera#3425;Video\10;https://play.joystream.org/video/1186;98;Accepted;;44335;
356;leet_joy;Video\10;https://play.joystream.org/video/2989;2964;Accepted;;44335;
357;leet_joy;Video\10;https://play.joystream.org/video/2984;2964;Accepted;;44335;
358;leet_joy;Video\10;https://play.joystream.org/video/2979;2964;Accepted;;44335;
357;leet_joy;Video\10;https://play.joystream.org/video/2974;2964;Accepted;;44335;
359;leet_joy;Video\10;https://play.joystream.org/video/2969;2964;Accepted;;44335;
360;prontera#3425;Video\10;https://play.joystream.org/video/1181;98;Accepted;;44335;
361;prontera#3425;Video\10;https://play.joystream.org/video/1176;98;Accepted;;44335;
362;prontera#3425;Video\10;https://play.joystream.org/video/1171;98;Accepted;;44335;
363;prontera#3425;Video\10;https://play.joystream.org/video/1166;98;Accepted;;44335;
364;prontera#3425;Video\10;https://play.joystream.org/video/1161;98;Accepted;;44335;
365;prontera#3425;Video\10;https://play.joystream.org/video/1156;98;Accepted;;44335;
366;prontera#3425;Video\10;https://play.joystream.org/video/1151;98;Accepted;;44335;
367;prontera#3425;Video\10;https://play.joystream.org/video/1146;98;Accepted;;44335;
368;prontera#3425;Video\10;https://play.joystream.org/video/1141;98;Accepted;;44335;
369;prontera#3425;Video\10;https://play.joystream.org/video/1136;98;Accepted;;44335;
370;prontera#3425;Video\10;https://play.joystream.org/video/1131;98;Accepted;;44335;
371;prontera#3425;Video\10;https://play.joystream.org/video/1126;98;Accepted;;44335;
372;prontera#3425;Video\10;https://play.joystream.org/video/1121;98;Accepted;;44335;
373;prontera#3425;Video\10;https://play.joystream.org/video/1116;98;Accepted;;44335;
374;prontera#3425;Video\10;https://play.joystream.org/video/1111;98;Accepted;;44335;
375;prontera#3425;Video\10;https://play.joystream.org/video/1592;99;Accepted;;44335;
376;prontera#3425;Video\10;https://play.joystream.org/video/1586;99;Accepted;;44335;
377;prontera#3425;Video\10;https://play.joystream.org/video/1581;99;Accepted;;44335;
378;prontera#3425;Video\10;https://play.joystream.org/video/1576;99;Accepted;;44335;
379;prontera#3425;Video\10;https://play.joystream.org/video/1571;99;Accepted;;44335;
380;prontera#3425;Video\10;https://play.joystream.org/video/1566;99;Accepted;;44335;
381;prontera#3425;Video\10;https://play.joystream.org/video/1561;99;Accepted;;44335;
382;prontera#3425;Video\10;https://play.joystream.org/video/1556;99;Accepted;;44335;
383;prontera#3425;Video\10;https://play.joystream.org/video/1551;99;Accepted;;44335;
384;prontera#3425;Video\10;https://play.joystream.org/video/1546;99;Accepted;;44335;
385;prontera#3425;Video\10;https://play.joystream.org/video/1541;99;Accepted;;44335;
386;prontera#3425;Video\10;https://play.joystream.org/video/1536;99;Accepted;;44335;
387;prontera#3425;Video\10;https://play.joystream.org/video/1531;99;Accepted;;44335;
388;prontera#3425;Video\10;https://play.joystream.org/video/1526;99;Accepted;;44335;
389;prontera#3425;Video\10;https://play.joystream.org/video/1521;99;Accepted;;44335;
390;prontera#3425;Video\10;https://play.joystream.org/video/1516;99;Accepted;;44335;
391;prontera#3425;Video\10;https://play.joystream.org/video/1441;100;Accepted;;44335;
392;prontera#3425;Video\10;https://play.joystream.org/video/1436;100;Accepted;;44335;
393;prontera#3425;Video\10;https://play.joystream.org/video/1431;100;Accepted;;44335;
394;prontera#3425;Video\10;https://play.joystream.org/video/1426;100;Accepted;;44335;
395;prontera#3425;Video\10;https://play.joystream.org/video/1421;100;Accepted;;44335;
396;prontera#3425;Video\10;https://play.joystream.org/video/1416;100;Accepted;;44335;
397;prontera#3425;Video\10;https://play.joystream.org/video/1411;100;Accepted;;44335;
398;prontera#3425;Video\10;https://play.joystream.org/video/1406;100;Accepted;;44335;
399;prontera#3425;Video\10;https://play.joystream.org/video/1401;100;Accepted;;44335;
400;prontera#3425;Video\10;https://play.joystream.org/video/1396;100;Accepted;;44335;
401;prontera#3425;Video\10;https://play.joystream.org/video/1391;100;Accepted;;44335;
402;prontera#3425;Video\10;https://play.joystream.org/video/1386;100;Accepted;;44335;
403;prontera#3425;Video\10;https://play.joystream.org/video/1381;100;Accepted;;44335;
404;prontera#3425;Video\10;https://play.joystream.org/video/1376;100;Accepted;;44335;
405;prontera#3425;Video\10;https://play.joystream.org/video/1371;100;Accepted;;44335;
406;prontera#3425;Video\10;https://play.joystream.org/video/1366;100;Accepted;;44335;
407;prontera#3425;Video\10;https://play.joystream.org/video/1361;100;Accepted;;44335;
408;prontera#3425;Video\10;https://play.joystream.org/video/1356;100;Accepted;;44335;
409;prontera#3425;Video\10;https://play.joystream.org/video/1351;100;Accepted;;44335;
410;prontera#3425;Video\10;https://play.joystream.org/video/1346;100;Accepted;;44335;
411;prontera#3425;Video\10;https://play.joystream.org/video/1341;100;Accepted;;44335;
412;prontera#3425;Video\10;https://play.joystream.org/video/1336;100;Accepted;;44335;
413;prontera#3425;Video\10;https://play.joystream.org/video/1331;100;Accepted;;44335;
414;prontera#3425;Video\10;https://play.joystream.org/video/1326;100;Accepted;;44335;
415;prontera#3425;Video\10;https://play.joystream.org/video/1321;100;Accepted;;44335;
416;prontera#3425;Video\10;https://play.joystream.org/video/1316;100;Accepted;;44335;
417;prontera#3425;Video\10;https://play.joystream.org/video/1311;100;Accepted;;44335;
418;prontera#3425;Video\10;https://play.joystream.org/video/1306;100;Accepted;;44335;
419;prontera#3425;Video\10;https://play.joystream.org/video/1301;100;Accepted;;44335;
420;prontera#3425;Video\10;https://play.joystream.org/video/1296;100;Accepted;;44335;
421;prontera#3425;Video\10;https://play.joystream.org/video/1286;100;Accepted;;44335;
422;prontera#3425;Video\10;https://play.joystream.org/video/1281;100;Accepted;;44335;
423;prontera#3425;Video\10;https://play.joystream.org/video/1276;100;Accepted;;44335;
424;prontera#3425;Video\10;https://play.joystream.org/video/1271;100;Accepted;;44335;
425;prontera#3425;Video\10;https://play.joystream.org/video/1266;100;Accepted;;44335;
426;prontera#3425;Video\10;https://play.joystream.org/video/1261;100;Accepted;;44335;
427;prontera#3425;Video\10;https://play.joystream.org/video/1256;100;Accepted;;44335;
428;prontera#3425;Video\10;https://play.joystream.org/video/1251;100;Accepted;;44335;
429;prontera#3425;Video\10;https://play.joystream.org/video/1246;100;Accepted;;44335;
430;prontera#3425;Video\10;https://play.joystream.org/video/1241;100;Accepted;;44335;
431;prontera#3425;Video\10;https://play.joystream.org/video/1236;100;Accepted;;44335;
432;prontera#3425;Video\10;https://play.joystream.org/video/1231;100;Accepted;;44335;
433;prontera#3425;Video\10;https://play.joystream.org/video/1226;100;Accepted;;44335;
434;prontera#3425;Video\10;https://play.joystream.org/video/1221;100;Accepted;;44335;
435;prontera#3425;Video\10;https://play.joystream.org/video/1216;100;Accepted;;44335;
436;prontera#3425;Video\10;https://play.joystream.org/video/1211;100;Accepted;;44335;
437;prontera#3425;Video\10;https://play.joystream.org/video/1206;100;Accepted;;44335;
438;prontera#3425;Video\10;https://play.joystream.org/video/1201;100;Accepted;;44335;
439;prontera#3425;Video\10;https://play.joystream.org/video/1196;100;Accepted;;44335;
440;prontera#3425;Video\10;https://play.joystream.org/video/1191;100;Accepted;;44335;
441;IgreX;Video\10;https://play.joystream.org/video/3019;1700;Accepted;;44336;
442;IgreX;Video\10;https://play.joystream.org/video/2861;1700;Accepted;;44336;
443;IgreX;Video\10;https://play.joystream.org/video/1735;1700;Accepted;;44336;
444;IgreX;Video\10;https://play.joystream.org/video/1730;1700;Accepted;;44336;
445;IgreX;Video\10;https://play.joystream.org/video/1725;1700;Accepted;;44336;
446;IgreX;Video\10;https://play.joystream.org/video/1720;1700;Accepted;;44336;
447;IgreX;Video\10;https://play.joystream.org/video/1715;1700;Accepted;;44336;
448;IgreX;Video\10;https://play.joystream.org/video/1710;1700;Accepted;;44336;
449;IgreX;Video\10;https://play.joystream.org/video/1705;1700;Accepted;;44336;
450;IgreX;Video\10;https://play.joystream.org/video/3024;2862;Warn;https://testnet.joystream.org/#/forum/threads/329?page=5&replyIdx=44;44337;
451;IgreX;Video\10;https://play.joystream.org/video/1096;97;Accepted;;44337;
452;IgreX;Video\10;https://play.joystream.org/video/1091;97;Accepted;;44337;
453;IgreX;Video\10;https://play.joystream.org/video/1086;97;Accepted;;44337;
454;IgreX;Video\10;https://play.joystream.org/video/1081;97;Accepted;;44337;
455;IgreX;Video\10;https://play.joystream.org/video/1076;97;Accepted;;44337;
456;IgreX;Video\10;https://play.joystream.org/video/1071;97;Accepted;;44337;
457;IgreX;Video\10;https://play.joystream.org/video/1066;97;Accepted;;44337;
458;IgreX;Video\10;https://play.joystream.org/video/1061;97;Accepted;;44337;
459;IgreX;Video\10;https://play.joystream.org/video/1056;97;Accepted;;44337;
460;IgreX;Video\10;https://play.joystream.org/video/1051;97;Accepted;;44337;
461;IgreX;Video\10;https://play.joystream.org/video/1046;97;Accepted;;44337;
462;IgreX;Channel\1;https://play.joystream.org/channel/97;;Accepted;;44337;
463;IgreX;Video\10;https://play.joystream.org/video/1491;101;Accepted;;44337;
464;IgreX;Video\10;https://play.joystream.org/video/1486;101;Accepted;;44337;
465;IgreX;Video\10;https://play.joystream.org/video/1481;101;Accepted;;44337;
466;IgreX;Video\10;https://play.joystream.org/video/1476;101;Accepted;;44337;
467;IgreX;Video\10;https://play.joystream.org/video/1471;101;Accepted;;44337;
468;IgreX;Video\10;https://play.joystream.org/video/1466;101;Accepted;;44337;
469;IgreX;Video\10;https://play.joystream.org/video/1461;101;Accepted;;44337;
470;IgreX;Video\10;https://play.joystream.org/video/1456;101;Accepted;;44337;
471;IgreX;Video\10;https://play.joystream.org/video/1451;101;Accepted;;44337;
472;IgreX;Video\10;https://play.joystream.org/video/1446;101;Accepted;;44337;
473;IgreX;Channel\1;https://play.joystream.org/channel/101;;Accepted;;44337;
474;IgreX;Video\10;https://play.joystream.org/video/2912;2291;Accepted;https://discord.com/channels/811216481340751934/812344859921743872/845206045562896384;44337;broken thumbnails for some devices
475;IgreX;Video\10;https://play.joystream.org/video/2882;2291;Accepted;https://discord.com/channels/811216481340751934/812344859921743872/845206045562896384;44337;broken thumbnails for some devices
476;IgreX;Video\10;https://play.joystream.org/video/2778 ;2291;Accepted;https://discord.com/channels/811216481340751934/812344859921743872/845206045562896384;44337;broken thumbnails for some devices
477;prontera#3425;Video\10;https://play.joystream.org/video/1974;1636;Accepted;;44339;
478;prontera#3425;Video\10;https://play.joystream.org/video/1979;1636;Accepted;;44339;
479;prontera#3425;Video\10;https://play.joystream.org/video/3090;1636;Accepted;;44339;
480;prontera#3425;Video\10;https://play.joystream.org/video/3059;2105;Accepted;;44339;
481;prontera#3425;Video\10;https://play.joystream.org/video/3085;1700;Accepted;;44339;
482;prontera#3425;Video\10;https://play.joystream.org/video/3080;2025;Accepted;;44339;
483;prontera#3425;Video\10;https://play.joystream.org/video/3075;2025;Accepted;;44339;
484;prontera#3425;Video\10;https://play.joystream.org/video/3070;2025;Accepted;;44339;
485;prontera#3425;Video\10;https://play.joystream.org/video/3065;2025;Accepted;;44339;
486;prontera#3425;Video\10;https://play.joystream.org/video/3039;1758;Accepted;;44339;
487;prontera#3425;Video\10;https://play.joystream.org/video/3034;2140;Accepted;;44339;
488;leet_joy;Video\10;https://play.joystream.org/video/3115;1944;Accepted;;44339;
489;leet_joy;Video\10;https://play.joystream.org/video/3110;1908;Accepted;;44339;
490;leet_joy;Video\10;https://play.joystream.org/video/3105;1908;Accepted;;44339;
491;leet_joy;Video\10;https://play.joystream.org/video/3100;1908;Accepted;;44339;
492;leet_joy;Video\10;https://play.joystream.org/video/3095;1908;Accepted;;44339;
493;leet_joy;Video\10;https://play.joystream.org/video/2536;1908;Accepted;;44339;
494;leet_joy;Video\10;https://play.joystream.org/video/2531;1908;Accepted;;44339;
495;leet_joy;Video\10;https://play.joystream.org/video/2526;1908;Accepted;;44339;
